         12744 function calls (12463 primitive calls) in 0.146 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       32    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1621(get_data)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1631(path_stats)
       12    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1636(_cache_bytecode)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1641(set_data)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:172(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1853(_path_hooks)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1870(_path_importer_cache)
       20    0.001    0.000    0.011    0.001 <frozen importlib._bootstrap>:1902(_get_spec)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:192(acquire)
       20    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap>:1934(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1979(__init__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1985(<genexpr>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2011(_get_spec)
       44    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap>:2016(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2061(_fill_cache)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2102(path_hook_for_FileFinder)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2120(__enter__)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2124(__exit__)
       22    0.001    0.000    0.012    0.001 <frozen importlib._bootstrap>:2147(_find_spec)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:217(release)
     22/1    0.000    0.000    0.120    0.120 <frozen importlib._bootstrap>:2207(_find_and_load_unlocked)
     22/1    0.000    0.000    0.120    0.120 <frozen importlib._bootstrap>:2234(_find_and_load)
    52/44    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:2264(_handle_fromlist)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:257(__init__)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:261(__enter__)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:268(__exit__)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:274(_get_module_lock)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:288(cb)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:293(_lock_unlock_module)
     36/2    0.000    0.000    0.119    0.059 <frozen importlib._bootstrap>:313(_call_with_frames_removed)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:34(_relax_case)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:40(_w_long)
       40    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:437(cache_from_source)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:45(_r_long)
      286    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:50(_path_join)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:506(_calc_mode)
      306    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:518(_verbose_message)
      286    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:52(<listcomp>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:534(_check_name_wrapper)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:546(_requires_builtin_wrapper)
       52    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:56(_path_split)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(_validate_bytecode_header)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:654(_compile_bytecode)
